Empresa;Cotação;Divida_Liquida;Custos;Lucro_Liquido;Lucro_Bruto;Margem_Bruta;Margem_Liquida;Divida_Bruta;Divida_Liquida.1;Roic;ROE;Receita_Liquida;EBITA;EBIT;Impostos;Margem_EBITA;Dy;P/VP;P/L;VPA;LPA
POSITIVO;6.41;884850000.0;-2720000000.0;217260000.0;1070000000.0;28.2;5.73;1320000000.0;884850000.0;18.2;3.95;3790000000.0;494300000.0;550860000.0;-1570000.0;14.54;7.9;0.65;4.27;9.8;1.5
IRB BRASIL RESSEGUROS;39.66;-2940000000.0;-7430000000.0;-308870000.0;-665800000.0;-9.84;-4.56;1020000000.0;-2940000000.0;-26.21;-1.88;6770000000.0;-1080000000.0;0.0;271110000.0;0.0;0.0;0.79;-10.56;50.3;-3.75
SÃO MARTINHO;37.28;6690000000.0;-3360000000.0;1010000000.0;1970000000.0;31.37;16.17;9060000000.0;6690000000.0;11.31;4.37;6270000000.0;1940000000.0;3250000000.0;-230180000.0;51.8;4.43;2.17;13.01;17.17;2.87
IOCHPE MAXION;11.82;3740000000.0;-14850000000.0;78780000.0;1430000000.0;8.78;0.48;6200000000.0;3740000000.0;7.17;0.5;16280000000.000002;823280000.0;1280000000.0;-107150000.0;7.89;2.53;0.48;-63.23;24.63;-0.19
EZ TEC;15.47;-98260000.0;-747930000.0;264620000.0;337140000.0;31.07;24.39;683160000.0;-98260000.0;3.21;1.47;1090000000.0;201400000.0;264700000.0;-32790000.0;24.39;1.79;0.75;13.43;20.71;1.15
ZAMP;6.05;734870000.0;-1320000000.0;-111450000.0;2460000000.0;64.96;-2.95;1160000000.0;734870000.0;2.36;-1.94;3780000000.0;85030000.0;337700000.0;-25400000.0;8.93;0.0;1.22;-14.95;4.97;-0.4
KEPLER WEBER;10.37;-110680000.0;-1070000000.0;313260000.0;556260000.0;34.29;19.31;155850000.0;-110680000.0;36.97;12.29;1620000000.0;406490000.0;438320000.0;-101700000.0;27.02;10.89;2.79;5.95;3.72;1.74
GRUPO GPS;15.62;572150000.0;-8310000000.000001;572590000.0;1740000000.0;17.33;5.7;3170000000.0;572150000.0;13.5;5.38;10050000000.0;1100000000.0;987820000.0;-288250000.0;9.83;1.66;3.73;18.38;4.18;0.85
GAFISA;4.33;1630000000.0;-1160000000.0;-178070000.0;97980000.0;7.81;-14.2;1960000000.0;1630000000.0;-7.24;-3.36;1250000000.0;-214660000.0;-185370000.0;-55780000.0;-14.78;0.0;0.15;-1.54;28.08;-2.81
DIRECIONAL ENGENHARIA;16.97;358720000.0;-1480000000.0;359360000.0;792350000.0;34.89;15.82;1470000000.0;358720000.0;13.77;6.54;2270000000.0;451480000.0;506580000.0;-48370000.0;22.31;4.12;2.02;9.71;8.39;1.75
ENAUTA PARTICIPAÇÕES;17.16;119770000.0;-900200000.0;360540000.0;789550000.0;46.73;21.34;1820000000.0;119770000.0;7.13;2.21;1690000000.0;547350000.0;818670000.0;-127130000.0;48.45;0.88;1.12;12.65;15.32;1.36
CAIXA SEGURIDADE;11.57;-826210000.0;0.0;3380000000.0;0.0;0.0;0.0;0.0;-826210000.0;27.16;7.3;0.0;3780000000.0;0.0;-562390000.0;0.0;7.37;2.93;10.28;3.95;1.13
PLANO E PLANO;8.25;228140000.0;-1140000000.0;202220000.0;568610000.0;33.2;11.81;553100000.0;228140000.0;18.32;11.46;1710000000.0;236770000.0;243460000.0;-40000000.0;14.22;1.96;3.23;8.34;2.55;0.99
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;19.6;596670000.0;-2270000000.0;406340000.0;1370000000.0;37.57;11.15;3270000000.0;596670000.0;10.09;2.36;3640000000.0;846020000.0;1710000000.0;-55160000.0;46.9;0.0;2.52;28.73;7.79;0.68
INTERNATIONAL MEAL COMPANY;1.56;353070000.0;-1570000000.0;95980000.0;757700000.0;32.49;4.12;520990000.0;353070000.0;13.74;2.22;2330000000.0;258570000.0;381210000.0;-38800000.0;16.35;0.0;0.41;4.65;3.76;0.34
AZEVEDO E TRAVASSOS S.A.;2.03;42220000.0;-489140000.0;-46320000.0;45040000.0;8.43;-8.67;51200000.0;42220000.0;-72.25;-11.09;534190000.00000006;-66010000.00000001;-28600000.0;57120000.0;-5.35;0.0;1.59;-4.08;1.28;-0.5
COPASA;16.47;3220000000.0;-4080000000.0;1080000000.0;2660000000.0;39.51;16.06;3990000000.0;3220000000.0;10.92;3.67;6740000000.0;1490000000.0;2260000000.0;-229700000.0;33.45;10.13;0.83;5.79;19.94;2.85
GRENDENE;6.25;-662980000.0;-1420000000.0;557210000.0;1040000000.0;42.35;22.64;89360000.0;-662980000.0;6.99;3.65;2460000000.0;267350000.00000003;322070000.0;-25150000.0;13.09;23.08;1.67;10.12;3.74;0.62
CAMIL;7.19;3240000000.0;-8600000000.0;405030000.0;2160000000.0;20.11;3.76;5310000000.0;3240000000.0;9.28;3.42;10770000000.0;782310000.0;1030000000.0;-16520000.0;9.53;3.95;0.85;6.22;8.43;1.16
PAGUE MENOS;3.04;1380000000.0;-7230000000.0;86120000.0;3380000000.0;31.85;0.81;1690000000.0;1380000000.0;12.26;0.95;10600000000.0;587370000.0;1070000000.0;104520000.0;10.1;6.12;0.07;1.91;41.44;1.59
SER EDUCACIONAL;6.27;518380000.0;-882650000.0;-161710000.0;879860000.0;49.92;-9.17;728280000.0;518380000.0;3.13;-3.2;1760000000.0;69100000.0;300110000.0;-7400000.0;17.03;0.0;0.65;-4.99;9.64;-1.26
SPRINGS GLOBAL;1.38;786480000.0;-1050000000.0;-645540000.0;162600000.0;13.36;-53.02;1040000000.0;786480000.0;-19.71;-25.82;1220000000.0;-254660000.0;-151500000.0;-24060000.0;-12.44;0.0;0.18;-0.11;7.57;-12.91
JHSF;4.08;2390000000.0;-737880000.0;440340000.0;937540000.0;55.96;26.28;3090000000.0;2390000000.0;7.99;2.21;1680000000.0;753310000.0;819150000.0;-104010000.0;48.89;11.41;0.55;5.98;7.41;0.68
